"","Kingdom","Phylum","Class","Order","Family","Genus","Species","COMMENT.on.genus","primary_lifestyle","Secondary_lifestyle","Comment_on_lifestyle_template","Endophytic_interaction_capability_template","Plant_pathogenic_capacity_template","Decay_substrate_template","Decay_type_template","Aquatic_habitat_template","Animal_biotrophic_capacity_template","Specific_hosts","Growth_form_template","Fruitbody_type_template","Hymenium_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template","primary_photobiont","secondary_photobiont","Decay_type","Fruitbody_type","OTU_ID"
"OTU32","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","","","sooty_mold","litter_saprotroph","hyperviariable","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,animal_material,sugar-rich_substrates","","partly_aquatic","animal_parasite","","dimorphic_yeast","","","","","","","","","OTU32"
"OTU33","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU33"
"OTU34","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Genolevuria","","","unspecified_saprotroph","epiphyte","","","","","","non-aquatic","","","yeast","","","","","","","","","OTU34"
"OTU35","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","Hebeloma crustuliniforme","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/hebeloma-alnicola","","","","agaricoid","OTU35"
"OTU36","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU36"
"OTU37","Fungi","Basidiomycota","Tremellomycetes","Tremellales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU37"
"OTU38","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU38"
"OTU39","Fungi","Ascomycota","Sordariomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU39"
"OTU40","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU40"
"OTU41","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU41"
"OTU42","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","","","soil_saprotroph","","","","","soil","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","","","","","","agaricoid","OTU42"
"OTU43","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU43"
"OTU44","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophora incarnata","","wood_saprotroph","plant_pathogen","","","wood_pathogen","wood","white_rot","partly_aquatic","","","filamentous_mycelium","corticioid","smooth","","","","","white_rot","corticioid","OTU44"
"OTU46","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU46"
"OTU47","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU47"
"OTU48","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU48"
"OTU49","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU49"
"OTU50","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU50"
"OTU51","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU51"
"OTU52","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Phyllactinia","Phyllactinia angulata","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","non-aquatic","","","filamentous_mycelium","chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_","closed","","","","","","chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_","OTU52"
"OTU53","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU53"
"OTU54","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Perusta","","","unspecified_saprotroph","rock-inhabiting","","","","soil","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU54"
"OTU55","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","","","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","soft_rot","perithecium_(hymenium_hidden,_narrow_opening)","OTU55"
"OTU56","Fungi","Basidiomycota","Tremellomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU56"
"OTU57","Fungi","Ascomycota","Sordariomycetes","Xylariales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU57"
"OTU59","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU59"
"OTU61","Fungi","Ascomycota","Leotiomycetes","Helotiales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU61"
"OTU62","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Cytospora","","","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","soft_rot","perithecium_(hymenium_hidden,_narrow_opening)","OTU62"
"OTU63","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU63"
"OTU64","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU64"
"OTU66","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces","","","soil_saprotroph","","","","","soil","","partly_aquatic","","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","","","","cleistothecium_(closed,_spherical)","OTU66"
"OTU67","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Nonappendiculata","Nonappendiculata quercina","","litter_saprotroph","","","","","","","","","","filamentous_mycelium","","","","","","","","","OTU67"
"OTU68","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","","Candida","Candida tropicalis","","nectar/tap_saprotroph","","","","","sugar-rich_substrates","","partly_aquatic","animal-associated/opportunistic_human_parasite","","yeast","none","none","","","","","","none","OTU68"
"OTU69","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Helvellosebacina","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","clavarioid","smooth","contact","/sebacina","","","","clavarioid","OTU69"
"OTU70","Fungi","Ascomycota","Dothideomycetes","Myriangiales","","Phaeosclera","","","litter_saprotroph","","","","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","","","","","","","","","OTU70"
"OTU71","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium vesicarium","","plant_pathogen","litter_saprotroph","","","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","","","","","","","soft_rot","","OTU71"
"OTU72","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Fonsecazyma","Fonsecazyma tronadorensis","","unspecified_saprotroph","","","","","","","non-aquatic","","","yeast","","","","","","","","","OTU72"
"OTU73","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema macrosporum","","unspecified_saprotroph","animal_decomposer","","no_endophytic_capacity","","animal_material","other","non-aquatic","animal-associated/opportunistic_human_parasite","","dimorphic_yeast","other","","","","","","other","other","OTU73"
"OTU74","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU74"
"OTU75","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Endosporiaceae","Endosporium","","","litter_saprotroph","","","","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","","","","","","","","","OTU75"
"OTU76","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/inocybe","","","","agaricoid","OTU76"
"OTU77","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","","","unspecified_saprotroph","","","","","","","non-aquatic","","","dimorphic_yeast","","","","","","","","","OTU77"
"OTU78","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Fonsecazyma","Fonsecazyma tronadorensis","","unspecified_saprotroph","","","","","","","non-aquatic","","","yeast","","","","","","","","","OTU78"
"OTU79","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU79"
"OTU80","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Phaffia","","","unspecified_saprotroph","","","","","","","non-aquatic","","","yeast","none","none","","","","","","none","OTU80"
"OTU81","Fungi","Basidiomycota","Cystobasidiomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU81"
"OTU82","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta polymorpha","","unspecified_saprotroph","foliar_endophyte","hypervariable","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,soil,dung,animal_material","","non-aquatic","animal_parasite","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","","","","cleistothecium_(closed,_spherical)","OTU82"
"OTU83","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","","","wood_saprotroph","plant_pathogen","","","wood_pathogen","wood","white_rot","partly_aquatic","","","filamentous_mycelium","corticioid","smooth","","","","","white_rot","corticioid","OTU83"
"OTU84","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Parafenestella","Parafenestella austriaca","","unspecified_saprotroph","fungal_decomposer","","","","fungal_material","","","","","filamentous_mycelium","","","","","","","","","OTU84"
"OTU85","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU85"
"OTU86","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Heterotruncatella","","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","","","","filamentous_mycelium","","","","","","","","","OTU86"
"OTU87","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","Orbilia foliicola","synonym of Orbilia","wood_saprotroph","animal_parasite","","","","wood,leaf/fruit/seed,soil,fungal_material","","partly_aquatic","nematophagous","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","","","","apothecium_(hymenium_on_surface)","OTU87"
"OTU88","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU88"
"OTU89","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","","","plant_pathogen","litter_saprotroph","hypervariable","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil","soft_rot","partly_aquatic","","","filamentous_mycelium","","","","","","","soft_rot","","OTU89"
"OTU91","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","","","plant_pathogen","litter_saprotroph","","no_endophytic_capacity","leaf/fruit/seed_pathogen","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU91"
"OTU92","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","","","unspecified_saprotroph","","","","","","","non-aquatic","","","dimorphic_yeast","","","","","","","","","OTU92"
"OTU93","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","non-aquatic","","","filamentous_mycelium","chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_","closed","","","","","","chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_","OTU93"
"OTU94","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU94"
"OTU95","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU95"
"OTU96","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Seiridium","Seiridium italicum","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU96"
"OTU97","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","Ochrocladosporium","","","wood_saprotroph","","","","","wood","","partly_aquatic","","","filamentous_mycelium","","","","","","","","","OTU97"
"OTU98","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Rachicladosporium","","","litter_saprotroph","","","","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU98"
"OTU99","Fungi","Basidiomycota","Cystobasidiomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU99"
"OTU100","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU100"
"OTU101","Fungi","Basidiomycota","Microbotryomycetes","","","Curvibasidium","","","wood_saprotroph","litter_saprotroph","hypervariable,_saprotroph_and_epiphyte","","","wood,leaf/fruit/seed,soil","","non-aquatic","","","dimorphic_yeast","none","none","","","","","","none","OTU101"
"OTU102","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botryotinia","","synonym of Botrytis","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","partly_aquatic","","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","","","","apothecium_(hymenium_on_surface)","OTU102"
"OTU104","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU104"
"OTU105","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus arhizus","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","gasteroid","closed","long-distance","/pisolithus-scleroderma","","","","gasteroid","OTU105"
"OTU106","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera jadinii","","nectar/tap_saprotroph","animal_parasite","","","","animal_material,sugar-rich_substrates","","partly_aquatic","animal_parasite/opportunistic_human_parasite","","yeast","none","none","","","","","","none","OTU106"
"OTU107","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Sporocadus","","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU107"
"OTU108","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","","","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","soft_rot","perithecium_(hymenium_hidden,_narrow_opening)","OTU108"
"OTU109","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neocamarosporiaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU109"
"OTU110","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Neophaeomoniella","","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","non-aquatic","","","filamentous_mycelium","","","","","","","","","OTU110"
"OTU111","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Pseudopithomyces chartarum","","plant_pathogen","litter_saprotroph","","no_endophytic_capacity","leaf/fruit/seed_pathogen","leaf/fruit/seed","","partly_aquatic","","","filamentous_mycelium","thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)","closed","","","","","","thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)","OTU111"
"OTU112","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","","","animal_parasite","litter_saprotroph","","root_endophyte_dark_septate","root-associated","leaf/fruit/seed,animal_material","","partly_aquatic","animal_parasite/opportunistic_human_parasite","","dimorphic_yeast","","","","","","","","","OTU112"
"OTU113","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta","","","wood_saprotroph","","","","","wood","soft_rot","","","","filamentous_mycelium","","","","","","","soft_rot","","OTU113"
